"tag_index","global_pvalue","video1concordance","video2concordance","video3concordance","video4concordance","video5concordance","video6concordance","video7concordance","video8concordance","video1pvalue","video2pvalue","video3pvalue","video4pvalue","video5pvalue","video6pvalue","video7pvalue","video8pvalue","video1mean","video2mean","video3mean","video4mean","video5mean","video6mean","video7mean","video8mean","video1sd","video2sd","video3sd","video4sd","video5sd","video6sd","video7sd","video8sd"
25,0,0.798148148148148,0.833333333333333,0.979047619047619,0.945945945945946,0.993548387096774,0.936507936507937,0.985,0.809722222222222,0,0,0,0,1,0.05,1,0,0.125,0.1125,0.0142857142857143,0.0324324324324324,0.0032258064516129,0.0342857142857143,0.0075,0.125,0.331179204869753,0.316475496384653,0.118835942251037,0.177385489692412,0.0567961834247065,0.182222599384834,0.0863852187300443,0.331236876477481
26,0,0.67962962962963,0.686805555555556,0.791746031746032,0.754354354354354,0.952688172043011,0.730793650793651,0.796666666666667,0.736111111111111,0.224,0,0,0,0.022,0.859,0,0.362,0.186111111111111,0.190625,0.12,0.154054054054054,0.0258064516129032,0.148571428571429,0.12,0.15,0.389737986250171,0.393409161084333,0.325426764106091,0.361489387141643,0.158813851538342,0.356174700841375,0.325368501324476,0.357630656572358
27,0,0.785802469135802,0.797916666666667,0.854603174603175,0.813213213213213,0.961290322580645,0.783492063492063,0.932222222222222,0.777777777777778,0.017,0,0.281,0.035,1,0.085,0.258,0.434,0.119444444444444,0.115625,0.0771428571428571,0.1,0.0193548387096774,0.117142857142857,0.035,0.11875,0.324762132317538,0.320275523039628,0.267199971567302,0.300406229028335,0.137991498351485,0.322050837153098,0.184009915827401,0.32400075467229
28,0.026,1,1,1,0.989189189189189,1,1,0.968888888888889,1,1,1,1,1,1,1,0,1,0,0,0,0.00540540540540541,0,0,0.02,0,0,0,0,0.0734217720452783,0,0,0.140175328810092,0
29,0,0.627777777777778,0.635416666666667,0.713650793650794,0.765765765765766,0.974193548387097,0.842539682539683,0.916666666666667,0.78125,0,0,0,0,1,0,0,0,0.280555555555556,0.271875,0.231428571428571,0.140540540540541,0.0129032258064516,0.102857142857143,0.05,0.153125,0.449895961012173,0.44562264917141,0.422349431349537,0.348017583161266,0.113039602659846,0.304207094938176,0.218217890235992,0.36067193909272
30,1,1,1,1,0.994594594594595,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0027027027027027,0,0,0,0,0,0,0,0.0519875244910036,0,0,0,0
32,0,0.72962962962963,0.713888888888889,0.695238095238095,0.702702702702703,0.681720430107527,0.902857142857143,0.833888888888889,0.779166666666667,0.003,0.026,0.007,0.004,0.071,1,0.441,0.06,0.155555555555556,0.16875,0.177142857142857,0.181081081081081,0.193548387096774,0.0485714285714286,0.0875,0.125,0.362937907198442,0.375117536439181,0.382336141493451,0.385606788106821,0.395717760777554,0.215278095047133,0.28292023548895,0.331236876477481
33,0,0.703703703703704,0.848611111111111,0.867936507936508,0.963363363363363,0.597849462365591,0.972698412698413,0.849444444444444,0.9625,0,0,0,0.246,0,0.206,0,1,0.194444444444444,0.09375,0.0914285714285714,0.0189189189189189,0.364516129032258,0.0142857142857143,0.0975,0.01875,0.396323244204307,0.291937104060571,0.288630228706999,0.136423217309409,0.482072378441417,0.118835942251037,0.297008898375597,0.135853276930167
34,0,0.824691358024691,0.888194444444444,0.938412698412698,0.907507507507508,0.954838709677419,0.935238095238095,0.902777777777778,0.914583333333333,0.333,0.096,0,0.094,1,0.022,0,0,0.0944444444444444,0.059375,0.0371428571428571,0.0486486486486487,0.0225806451612903,0.0342857142857143,0.0525,0.053125,0.29285307185698,0.236695345371167,0.189382519905301,0.215423728945418,0.148802506806656,0.182222599384834,0.223312384458703,0.22463397605325
35,0,0.760493827160494,0.817361111111111,0.674920634920635,0.778978978978979,0.797132616487455,0.848888888888889,0.695555555555556,0.859722222222222,0.009,0.055,0.003,0.263,0.006,0,0,0.001,0.138888888888889,0.103125,0.211428571428571,0.124324324324324,0.119354838709677,0.0857142857142857,0.27,0.08125,0.346311867578203,0.304598378875845,0.408906171463565,0.330397974203752,0.324729765509075,0.280342460592052,0.444515449632975,0.273646569759363
